experiment_id,preprocessing,vectorization,sampling,model,accuracy,f1_score,precision,recall,f1_toxic,f1_non_toxic,best_threshold,accuracy_tuned,f1_tuned,precision_tuned,recall_tuned,duration_seconds,timestamp,error
558,moderate,tfidf_trigram,random_undersample,XGBoost,0.9094941516026128,0.6785367432826157,0.569358927924665,0.8395193591455273,0.6785367432826157,0.9473330622491735,0.7000000000000002,0.9451921616284369,0.7516519823788547,0.7757885763000852,0.7289719626168224,21.735613,2025-10-03 05:40:27,
559,moderate,tfidf_trigram,random_undersample,XGBoost (Tuned),0.9114689351359563,0.6800614844093105,0.577475293678911,0.8269692923898532,0.6800614844093105,0.9486266351680124,0.7000000000000002,0.9466504633145982,0.7471926288511374,0.8106841611996252,0.6929238985313751,43.824163,2025-10-03 05:41:11,
560,moderate,tfidf_trigram,random_undersample,LightGBM,0.9145678262190491,0.6929460580912863,0.5861814151117679,0.8472630173564752,0.6929460580912863,0.9503811405985318,0.7500000000000002,0.9502354549597448,0.7659331237496427,0.823854903166308,0.7156208277703605,8.912353,2025-10-03 05:41:20,
561,moderate,tfidf_trigram,random_undersample,LightGBM (Tuned),0.9125930426857056,0.6819940311705538,0.5818559034326669,0.8237650200267023,0.6819940311705538,0.9493334272581583,0.7000000000000002,0.9472884703022938,0.7492412198294551,0.8166351606805293,0.6921228304405874,8.394646,2025-10-03 05:41:29,
562,moderate,tfidf_trigram,smote,Logistic Regression (Balanced),0.9061825915236215,0.6688116688116688,0.5588815199856605,0.8325767690253671,0.6688116688116688,0.9453509361837681,0.8500000000000002,0.9506304116664135,0.7564083345825213,0.8622693096377307,0.6736982643524699,3.157759,2025-10-03 05:41:39,
563,moderate,tfidf_trigram,smote,Logistic Regression (C=0.1),0.881907944706061,0.6100912829772294,0.48859254498714655,0.8120160213618157,0.6100912829772294,0.9304165696997906,0.7500000000000002,0.9390855233176363,0.7036215816703622,0.7880794701986755,0.6355140186915887,1.270615,2025-10-03 05:41:40,
564,moderate,tfidf_trigram,smote,Logistic Regression (C=10),0.9107701655780039,0.6801002069491341,0.5743193524650478,0.8336448598130841,0.6801002069491341,0.9481544246147329,0.8500000000000002,0.9466504633145982,0.756921373200443,0.7858580051739006,0.7300400534045394,4.817739,2025-10-03 05:41:45,
565,moderate,tfidf_trigram,smote,Random Forest (100 trees),0.9306091447668237,0.636652879414572,0.7874852420306966,0.5343124165554072,0.636652879414572,0.9616418110976757,0.40000000000000013,0.9296065623575878,0.6790414184790137,0.7055267702936097,0.6544726301735647,407.165728,2025-10-03 05:48:32,
566,moderate,tfidf_trigram,smote,Random Forest (200 trees),0.8010937262646209,0.44181089606957114,0.3245240480961924,0.6918558077436582,0.44181089606957114,0.8789856010055267,0.6000000000000002,0.881482606714264,0.4754605351620277,0.4788732394366197,0.4720961281708945,53.074032,2025-10-03 05:49:25,
567,moderate,tfidf_trigram,smote,Naive Bayes,0.8751329181224365,0.6081982840800763,0.4729429206819867,0.8518024032042724,0.6081982840800763,0.9257318395374051,0.8000000000000002,0.9399361993012304,0.7165591397849462,0.7736842105263158,0.6672897196261682,0.207429,2025-10-03 05:49:25,
568,moderate,tfidf_trigram,smote,Naive Bayes (alpha=0.1),0.876682363663983,0.6097490625901356,0.47641225961538464,0.8467289719626169,0.6097490625901356,0.9267711847588808,0.8000000000000002,0.9391462858878931,0.7143060904293254,0.7666870789957134,0.6686248331108144,0.200215,2025-10-03 05:49:26,
569,moderate,tfidf_trigram,smote,XGBoost,0.9253531824396172,0.6922209695603156,0.6519584709768759,0.7377837116154873,0.6922209695603156,0.9575258872543088,0.6000000000000002,0.9444326295002279,0.7339636363636364,0.8060702875399361,0.6736982643524699,94.052379,2025-10-03 05:51:00,
570,moderate,tfidf_trigram,smote,XGBoost (Tuned),0.9135652438098132,0.6570223025919228,0.5989010989010989,0.7276368491321762,0.6570223025919228,0.9505518380116451,0.6000000000000002,0.9411514507063649,0.7166886061137926,0.7923673997412678,0.6542056074766355,190.581062,2025-10-03 05:54:10,
